0;3620
1;412
2;154
3;94
4;71
5;57
6;49
7;43
8;40
9;38
10;37
11;38
12;41
13;45
14;50
15;57
16;68
17;79
18;89
19;100
20;107
21;115
22;121
23;127
24;130
25;134
26;138
27;144
28;150
29;156
30;165
31;173
32;182
33;194
34;208
35;221
36;235
37;251
38;284
39;251
40;304
41;327
42;355
43;387
44;424
45;465
46;509
47;556
48;601
49;654
50;706
51;758
52;811
53;870
54;928
55;992
56;1053
57;1129
58;1200
59;1268
60;1340
61;1423
62;1500
63;1593
64;1701
65;1806
66;1915
67;2031
68;2153
69;2290
70;2424
71;2569
72;2714
73;2841
74;2981
75;3101
76;3210
77;3284
78;3321
79;3315
80;3275
81;3200
82;3086
83;2912
84;2725
85;2504
86;2254
87;1996
88;1722
89;1452
90;1186
91;938
92;717
93;529
94;375
95;253
96;164
97;100
98;58
99;31
100;15
101;12
102;8
103;6
104;5
105;0
